query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
15335 0,※プチあんまん,140403,あんまん,0.72037,140403,あんまん,0.72037,90256,あんぱん,0.2068
1064423,百選Ｐｌｕｓさわら（骨な,170505,やさしい素材さわら,0.47289,170505,やさしい素材さわら,0.47289,510148,冷)助宗たら骨なし70g,0.2383
51071 0,楽らく骨なし赤魚60,510191,骨なし赤魚粕漬け60g,0.53137,510191,骨なし赤魚粕漬け60g,0.53137,170500,やさしい素材赤魚,0.37273
50235 0,★ﾌﾟﾁｼｭｰ(ﾁｮｺ)約36個,550140,プチシュー　チョコ　,0.72936,550140,プチシュー　チョコ　,0.72936,130757,プチシュークリーム,0.72935
04001 0,★乾燥小豆,100600,小豆(干),1.0,100605,ゆで小豆,0.49382,130666,葛まんじゅう小豆,0.34072
06335 0,長葱（白髪にする）,50111,長葱,1.0,50300,玉葱,0.33844,50110,青葱,0.30501
50022 0,☆千切り長芋（刻みトロロ,70314,長芋千切り（冷）,0.34585,70311,長芋,0.31303,51032,人参　千切り2×3×30ｍｍ,0.20201
50401 0,☆★りんご酢(ペットボト,150136,りんご酢,0.55562,170557,やさしい素材りんご,0.37885,80220,りんご,0.37885
50472 0,☆<太堀>水煮 山菜ﾐｯｸｽ,50551,和風野菜ミックス,0.41437,50553,中華野菜ミックス,0.41354,50780,山菜水煮,0.33755
08028 0,☆舞茸,50760,松茸,0.25038,50716,椎茸（冷）1/4カット,0.24904,50711,椎茸(冷）,0.24904
12045 0,ｽﾉｰﾏﾝｵﾑﾚﾂ(ﾄﾏﾄﾐｰﾄ),30310,プレーンオムレツ30ｇ,0.50079,30310,プレーンオムレツ30ｇ,0.50079,30311,プレーンオムレツ60g,0.50079
50260 0,Ｊ千切たけのこ水煮(K-8A),50450,たけのこ(生）,0.46521,540173,なめこ水煮,0.33717,150623,たけのこ釜めし1kg(三島）,0.29586
05018 0,☆皮むきﾀｲﾌﾟ 白いりごま,120100,いりごま　白,0.41754,120101,いりごま　黒,0.3791,120102,すりごま白,0.25207
5300111,緑黄色野菜入りたまごよせ,170563,やさしい素材たまご,0.34835,170563,やさしい素材たまご,0.34835,30303,冷）たまごそぼろ,0.17838
51447 0,☆JFSAｽﾊﾟｹﾞﾃｨﾅﾎﾟﾘﾀ,90530,スパゲティ２㎜,0.65265,90532,スパゲティ（冷）,0.65265,90531,サラダスパゲティ,0.49724
1016111,<KK>塩ｻﾊﾞ切身骨無 直送,10700,バサ皮骨無60ｇ,0.16318,10700,バサ皮骨無60ｇ,0.16318,10147,シメサバ,0.15415
21047 0,ザーサイ油炒め,50678,ザーサイ,0.62192,50634,高菜油炒め,0.39547,110209,ｼｰｻﾞｰｻﾗﾀﾞﾄﾞﾚｯｼｸﾞ,0.20944
06003 0,☆万能ねぎ,560100,だしパック万能50g(はごろも),0.38528,51062,赤玉ねぎ,0.20524,50301,新たまねぎ,0.17513
5018912,☆便利なｵｸﾗのごま和え,120107,ごま和えの素,0.4091,50410,オクラ,0.36632,50411,オクラ（冷）,0.36632
51021 0,★ビーンズミックス,100615,ミックスビーンズ（冷）,0.7109,40330,ミックスチーズ,0.38375,130535,プリンミックス,0.33879
17108 0,ノンオイルフレンチ,110234,ノンオイルフレンチクリーミー,0.77794,110235,ノンオイル梅,0.556,110232,ノンオイル中華,0.501
51443 0,★JFSAたまごｻﾗﾀﾞ,141105,半熟たまごサラダ,0.72426,170563,やさしい素材たまご,0.58787,170563,やさしい素材たまご,0.58787
1801311,Ｊミニハンバーグ,140125,豆腐ハンバーグ60ｇ,0.55485,140125,豆腐ハンバーグ60ｇ,0.55485,140124,やわらかﾊﾝﾊﾞｰｸﾞ120ｇ,0.50147
09044 0,☆ｶｯﾄわかめ磯葉(中国産),60102,生わかめ,0.35632,540100,冷)にらｶｯﾄ5cm,0.16226,50162,小松菜（冷）ｶｯﾄIQF15mm,0.15483
10481 0,野菜つみれ15ｇ（50入）,510207,野菜つみれ,1.0,510207,野菜つみれ,1.0,140606,いわしつみれ,0.39177
50037 0,☆オクラ（ホール）Ｓ,50410,オクラ,1.0,50411,オクラ（冷）,1.0,50412,オクラスライス（冷）5mm,0.62832
2115411,チンゲン菜のお浸し,50152,チンゲン菜カット(冷）,0.65364,50153,チンゲン菜（冷)15㎜,0.65364,50402,インゲンカット（冷）,0.36173
618115,※カットトマト2500,50350,トマト,1.0,50350,トマト,1.0,170514,やさしい素材トマト,1.0
50434 0,☆ﾌﾙｰﾁｪ ﾋﾟｰﾁ(業務用),130541,フルーチェ　ピーチ,1.0,130545,フルーチェ　みかん,0.50015,130544,フルーチェ　メロン,0.50013
9030000,チョコ・チョコチップ,90265,チョコパン,0.42981,90265,チョコパン,0.42981,40411,アイスチョコ,0.40549
01422 0,ﾃｰﾌﾞﾙﾏｰｸﾒﾛﾝﾊﾟﾝ,90250,メロンパン,0.57849,90250,メロンパン,0.57849,90314,ミニメロンパン,0.44904
5031511,★明太ﾎﾟﾃﾄｻﾗﾀﾞ,141100,ポテトサラダ,0.73237,70111,ダイスポテト（冷）,0.29248,50332,サラダ菜 (個）,0.26192
04093 0,ビーンズミックス,100615,ミックスビーンズ（冷）,0.7109,40330,ミックスチーズ,0.38375,130535,プリンミックス,0.33879
51420 0,☆JFSA新こうや豆腐 ｻｲｺﾛ,100420,豆腐サイコロ（冷）,0.69726,100501,高野豆腐サイコロ,0.56323,30140,卵豆腐,0.13233
50176 0,☆具たっぷりﾛｰﾙｷｬﾍﾞﾂM(約,140126,ロールキャベツ60ｇ,0.61424,140127,ロールキャベツ40ｇ,0.61424,570237,冷)ﾛｰﾙｷｬﾍﾞﾂ40g,0.61424
50006 0,☆ダイスポテト（１０㎜）,70111,ダイスポテト（冷）,1.0,141100,ポテトサラダ,0.39936,130758,スイートポテト　,0.36574
